#  Contiguous U.S. January Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,36.86
189601,41.41
189701,37.65
189801,40.75
189901,39.88
190001,44.26
190101,42.17
190201,40.93
190301,40.75
190401,38.77
190501,36.82
190601,43.38
190701,40.44
190801,43.29
190901,42.39
191001,39.81
191101,43.41
191201,35.38
191301,41.43
191401,44.47
191501,38.5
191601,38.26
191701,38.98
191801,34.47
191901,42.73
192001,39.31
192101,44.47
192201,37.24
192301,45.09
192401,37.67
192501,39.87
192601,40.46
192701,41.86
192801,42.84
192901,37.13
193001,33.78
193101,43.61
193201,41.07
193301,44.92
193401,45.68
193501,42.17
193601,37.56
193701,34.93
193801,42.13
193901,44.01
194001,33.57
194101,41.54
194201,40.82
194301,40.33
194401,42.91
194501,40.44
194601,41.95
194701,42.31
194801,38.98
194901,35.73
195001,41.32
195101,41.13
195201,42.28
195301,46.83
195401,41.72
195501,39.27
195601,41.14
195701,37.17
195801,41.77
195901,40.46
196001,38.75
196101,41.23
196201,37.83
196301,35.91
196401,42.89
196501,42.35
196601,36.37
196701,43.88
196801,39.29
196901,38.91
197001,37.24
197101,39.97
197201,40.95
197301,39.34
197401,40.69
197501,42.87
197601,41.45
197701,33.66
197801,34.84
197901,31.26
198001,40.37
198101,43.54
198201,37.33
198301,42.35
198401,38.97
198501,36.43
198601,46.04
198701,41.52
198801,38.14
198901,45.14
199001,47.16
199101,39.24
199201,43.52
199301,39.61
199401,39.78
199501,42.15
199601,40.78
199701,39.81
199801,44.31
199901,44.44
200001,44.2
200101,41.41
200201,45.07
200301,43.38
200401,40.44
200501,42.87
200601,49.62
200701,41.38
200801,40.77
200901,42.31
201001,40.03
201101,40.05
201201,47.57
201301,42.71
201401,42.44
201501,43.27
201601,41.85
201701,42.78
201801,43.16
201901,42.3
202001,45.03
202101,43.97
202201,42.91
202301,44.37
202401,41
202501,39.87
