#  Contiguous U.S. Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,36.86
189502,37.65
189503,52.07
189504,66.31
189505,72.77
189506,80.85
189507,83.89
189508,84.87
189509,78.71
189510,64.53
189511,50.07
189512,42.08
189601,41.41
189602,46.56
189603,49.42
189604,64.36
189605,74.75
189606,83.23
189607,85.96
189608,85.35
189609,75.24
189610,64.09
189611,48.45
189612,45.77
189701,37.65
189702,43.29
189703,49.3
189704,63.41
189705,74.59
189706,80.89
189707,86.38
189708,84.47
189709,79.99
189710,67.66
189711,52.3
189712,40.62
189801,40.75
189802,46.74
189803,52.36
189804,63.52
189805,72.03
189806,81.93
189807,86.22
189808,85.48
189809,78.66
189810,63.39
189811,49.46
189812,38.91
189901,39.88
189902,36.36
189903,48.85
189904,62.96
189905,72.21
189906,81.5
189907,86.22
189908,84.72
189909,78.93
189910,65.89
189911,55.89
189912,41.5
190001,44.26
190002,42.13
190003,52.99
190004,63.34
190005,74.88
190006,83.5
190007,86.13
190008,85.8
190009,76.98
190010,67.89
190011,52.27
190012,44.67
190101,42.17
190102,40.23
190103,52.45
190104,61.66
190105,74.08
190106,81.39
190107,89.92
190108,86.11
190109,75.67
190110,68.49
190111,53.35
190112,41.95
190201,40.93
190202,41.85
190203,52.34
190204,63.37
190205,74.39
190206,81.14
190207,84.94
190208,84.38
190209,75.96
190210,67.28
190211,53.53
190212,40.19
190301,40.75
190302,39.2
190303,52.57
190304,62.44
190305,71.87
190306,78.08
190307,84.76
190308,83.43
190309,75.65
190310,67.19
190311,51.71
190312,41.99
190401,38.77
190402,43.3
190403,52.97
190404,61.88
190405,73
190406,79.92
190407,84.13
190408,83.52
190409,77.72
190410,66.6
190411,56.14
190412,42.51
190501,36.82
190502,37.35
190503,55.89
190504,62.35
190505,70.79
190506,80.37
190507,84.56
190508,85.3
190509,78.82
190510,63.79
190511,53.4
190512,40.89
190601,43.38
190602,44.94
190603,46.29
190604,65.32
190605,71.96
190606,79.93
190607,85.12
190608,84.04
190609,78.75
190610,65.01
190611,50.7
190612,44.22
190701,40.44
190702,47.07
190703,57.09
190704,59.5
190705,68.13
190706,78.15
190707,85.23
190708,83.55
190709,77.09
190710,66.33
190711,51.85
190712,44.62
190801,43.29
190802,43.52
190803,55.8
190804,65.66
190805,70.93
190806,79.56
190807,86.14
190808,83.37
190809,79.47
190810,64.45
190811,54.45
190812,43.38
190901,42.39
190902,46.15
190903,51.33
190904,61.48
190905,71.02
190906,81.45
190907,85.21
190908,86.05
190909,77.31
190910,66.29
190911,56.3
190912,34.79
191001,39.81
191002,40.78
191003,63.09
191004,67.39
191005,72.41
191006,81.88
191007,87.6
191008,84.45
191009,78.49
191010,69.01
191011,52.07
191012,41.97
191101,43.41
191102,44.06
191103,56.28
191104,62.1
191105,74.71
191106,84.22
191107,85.77
191108,83.98
191109,78.33
191110,64.27
191111,48.45
191112,41.79
191201,35.38
191202,41.97
191203,46.2
191204,62.26
191205,73.02
191206,79.66
191207,84.58
191208,82.31
191209,74.98
191210,65.5
191211,54.07
191212,43.45
191301,41.43
191302,40.39
191303,50.27
191304,64.44
191305,73.22
191306,81.1
